"";"nombre";"comuna";"calle";"clase";"lon";"lat"
"195";"Tenencia Olivar";NA;NA;"Tenencia";-71,5425863;-70,7353505
"196";"4 Comisaría Concón";"Concón";"Diez Morotto";"Comisaría";-71,5425863;-70,7353505
"197";"Subcomisaría Forestal";"Viña del Mar";"Simón Bolívar";"Subcomisaría";-71,5425863;-70,7353505
"198";"Retén Carabineros Quintay";"Casablanca";"Jorge Montt";"Retén";-71,5425863;-70,7353505
"199";"Subcomisaría Gómez Carreño";"Viña del Mar";"Pacífico";"Subcomisaría";-71,5425863;-70,7353505
"200";"Subcomisaria Lo Barnechea";"Lo Barnechea";"Avenida La Dehesa";"Subcomisaría";-71,5425863;-70,7353505
"201";"Subcomisaria Pudahuel Norte";"Pudahuel";"El Arado";"Subcomisaría";-71,5425863;-70,7353505
"202";"Retén Eneas Gonel";"Conchali";"Armando Carrera";"Retén";-71,5425863;-70,7353505
"203";"Subcomisaria Los Quillayes";"La Florida";"Galvarino";"Subcomisaría";-71,5425863;-70,7353505
"204";"Subcomisaria Diego Portales";NA;NA;"Subcomisaría";-71,5425863;-70,7353505
"205";"19 Comisaría Providencia";"Providencia";"Avenida José Miguel Claro";"Comisaría";-71,5425863;-70,7353505
"206";"4 Comisaría de Santiago Suboficial Mayor Daniel Palma Yáñez";"Santiago";"Chiloé";"Comisaría";-71,5425863;-70,7353505
"207";"Tenencia El Belloto Suboficial Mayor Rita Olivares";"Quilpué";"Avenida Ramón Freire";"Tenencia";-71,5425863;-70,7353505
"208";"59 Comisaría de Lampa";NA;"Sargento Aldea";"Comisaría";-71,5425863;-70,7353505
"209";"Tenencia El Castillo";"La Pintana";"La Primavera";"Tenencia";-71,5425863;-70,7353505
"210";"Subcomisaría Conchalí Norte";NA;"Avenida Independencia";"Subcomisaría";-71,5425863;-70,7353505
"211";"Prefectura de Investigación de Accidentes en el Tránsito";"Ñuñoa";"Avenida Pedro de Valdivia";"Prefectura";-71,5425863;-70,7353505
"212";"22 Comisaría Quinta Normal";"Quinta Normal";"Santo Domingo";"Comisaría";-71,5425863;-70,7353505
"213";"66 Comisaría Bajos de Mena";NA;NA;"Comisaría";-71,5425863;-70,7353505
"214";"44 Comisaría Lo Prado";"Lo Prado";"Avenida San Pablo";"Comisaría";-71,5425863;-70,7353505
"215";"Tenencia Coltauco";"Coltauco";"Arturo Prat";"Tenencia";-71,5425863;-70,7353505
"216";"Tenencia La Victoria";"Pedro Aguirre Cerda";"1 de Mayo";"Tenencia";-71,5425863;-70,7353505
"217";"16 Comisaría La Reina";"La Reina";"Avenida Echeñique";"Comisaría";-71,5425863;-70,7353505
"218";"35ª Comisaría Delitos Sexuales";"Providencia";"Avenida Italia";"Comisaría";-71,5425863;-70,7353505
"219";"37 Comisaría Vitacura";"Vitacura";"Puerto Rico";"Comisaría";-71,5425863;-70,7353505
"220";"12 Comisaria San Miguel";"San Miguel";"Gran Avenida José Miguel Carrera";"Comisaría";-71,5425863;-70,7353505
"221";"15 Comisaría Buin";"Buin";"Manuel Rodríguez";"Comisaría";-71,5425863;-70,7353505
